national_id,full_name,dob,nationality,is_blacklisted,past_default,credit_history_years,interest_rate
57039491496,Trinh Manh Khoa,9/16/1975,Vietnam,1,1,1,18%
61258178109,Trinh Anh Huong,7/10/1949,Vietnam,0,0,0,18%
98054901718,Trinh Bao Phuc,6/14/1998,Vietnam,0,0,1,18%
25454331544,To Tuan My,7/12/1993,Vietnam,1,0,7,18%
35025873753,Duong Thi Quy,7/2/1985,Vietnam,1,0,6,18%
94299132509,Phan Thuy Diep,12/7/1968,Vietnam,1,0,19,18%
28867228900,Ngo Ngoc Hieu,1/29/1986,Vietnam,0,0,2,18%
57862452250,Truong Anh Loc,7/13/1996,Vietnam,1,0,8,18%
25527411372,Phan Quang Binh,9/4/1963,Vietnam,0,0,0,18%
75065591416,Duong Nhu Nam,1/6/1971,Vietnam,0,0,7,18%
73600862081,Pham Tuyet Nghia,5/8/1988,Vietnam,1,1,2,18%
98758912196,Mai Thuy Hoa,8/11/1958,Vietnam,0,0,0,18%
12844330662,Doan Duc Khang,10/7/1996,Vietnam,1,0,6,18%
24157511747,Lam Nhu Son,5/6/1936,Vietnam,1,0,4,18%
61066364144,Trinh Tien Trang,5/3/1966,Vietnam,1,1,9,18%
86327674249,Ngo Thu Son,5/21/2003,Vietnam,1,0,1,18%
67136617052,Vo Huy My,4/13/1933,Vietnam,1,1,16,18%
82148254728,Vo Tuan Thinh,6/29/1971,Vietnam,0,0,0,18%
53040286127,Lam Nhu Trang,6/14/1964,Vietnam,1,0,5,18%
20691987101,Dinh Manh Dung,3/3/1967,Vietnam,1,1,6,18%
79825507828,Dao Huy Giang,4/12/2002,Vietnam,0,0,0,18%
96896986736,Truong Gia Phong,12/15/1981,Vietnam,1,1,1,18%
55768044261,Kieu Bao Trung,5/1/1970,Vietnam,0,0,5,18%
29957078108,Doan Van Diep,4/19/2001,Vietnam,1,1,1,18%
98640283344,Pham Nhu Dat,11/16/1934,Vietnam,1,1,3,18%
31046546695,Le Tuyet Quy,10/9/2003,Vietnam,1,1,1,18%
56826876496,Nguyen Van Giang,8/19/1981,Vietnam,1,1,5,18%
24428753380,Chau Huu Tu,10/18/2005,Vietnam,1,1,1,18%
84765253717,Ho Manh Nam,8/29/2004,Vietnam,0,0,3,18%
33156886482,Ho Bao Khoa,7/30/1987,Vietnam,0,0,8,18%
53161990062,Dinh Tuyet Hoa,6/2/1965,Vietnam,1,0,7,18%
82450773435,Truong Tien Anh,5/5/1982,Vietnam,0,0,5,18%
31407522822,Pham Gia Trung,2/22/1982,Vietnam,1,0,11,18%
79296181178,Vo Thi Mai,9/27/1976,Vietnam,1,1,11,18%
92213520787,Doan Minh Dat,4/2/1998,Vietnam,0,0,3,18%
18291984936,Lam Diem Kien,2/9/2005,Vietnam,1,0,1,18%
45150926991,Phung Thuy Tai,12/30/1973,Vietnam,1,1,10,18%
43769520106,Dinh Xuan Son,2/5/1966,Vietnam,0,0,0,18%
25251920983,Do Huu Son,5/15/1936,Vietnam,1,1,2,18%
97009232286,Ly Thu Khoa,6/16/1994,Vietnam,0,0,8,18%
14674859172,Mac Thi Hieu,7/26/1975,Vietnam,1,1,11,18%
77990715328,Nguyen Gia Hieu,12/25/2003,Vietnam,1,0,3,18%
13763931047,Mai Huu Diep,6/10/2004,Vietnam,1,1,1,18%
68573593128,Pham Hoang Anh,10/10/2000,Vietnam,1,1,4,18%
47376119210,Dang Thuy Yen,7/20/1973,Vietnam,1,1,1,18%
13415208036,Truong Huu Son,8/5/1978,Vietnam,1,1,1,18%
65381468948,Huynh Huu Son,3/14/1963,Vietnam,1,1,1,18%
91198257594,Tran Ngoc Khoa,2/11/1986,Vietnam,0,0,7,18%
53331292621,Pham Tuan Loc,3/1/1975,Vietnam,0,0,0,18%
79333059922,Ho Manh Trang,8/30/1992,Vietnam,0,0,4,18%
48879994029,Vo Phuc Giang,10/14/1942,Vietnam,1,1,4,18%
38950854863,Nguyen Huy Khang,8/16/1985,Vietnam,1,1,10,18%
42305025865,Lam Tien Mai,7/5/1970,Vietnam,0,0,5,18%
84512644700,Huynh Tuan Son,4/20/1968,Vietnam,0,0,0,18%
80437398234,Phan Dinh My,11/25/2004,Vietnam,0,0,0,18%
28575737249,Huynh Gia Trung,11/17/1985,Vietnam,1,1,4,18%
43972517843,Ho Xuan Son,12/24/1975,Vietnam,0,0,4,18%
34238951192,Tran Manh Binh,8/15/2005,Vietnam,0,0,3,18%
27184862149,Trinh Hoang Nam,1/12/2006,Vietnam,0,0,2,18%
25971897031,Doan Bao Giang,5/29/1995,Vietnam,1,0,6,18%
16595578957,Dang Thu Tai,9/11/1986,Vietnam,0,0,0,18%
93795817820,To Minh Kien,1/1/1970,Vietnam,1,1,6,18%
34510034234,Vo Tuan Nghia,10/23/1978,Vietnam,0,0,6,18%
34898371740,Pham Manh Huong,5/25/2004,Vietnam,1,0,1,18%
28873135288,Phung Thi Trung,5/24/1972,Vietnam,1,1,26,18%
68667751886,Trinh Thanh Yen,6/3/1966,Vietnam,0,0,7,18%
96374271724,Vo Quoc Phuc,10/9/2005,Vietnam,0,0,0,18%
26472245562,Ngo Anh Mai,2/21/1996,Vietnam,1,0,10,18%
54355601103,Nguyen Tien Huong,8/18/2006,Vietnam,0,0,0,18%
32552004521,Doan Dinh Hoa,3/26/1979,Vietnam,0,0,0,18%
31462217017,Ly Phuc Phong,12/2/1969,Vietnam,0,0,0,18%
44253932451,Dao Huy Dat,11/18/2003,Vietnam,0,0,2,18%
12915324396,Dao Quang Lan,4/30/1981,Vietnam,0,0,0,18%
77293510937,Hoang Van Nghia,2/26/1962,Vietnam,1,0,1,18%
11251149237,Dang Xuan Tu,7/9/1980,Vietnam,0,0,7,18%
68604968231,Kieu Dinh Khang,10/18/1955,Vietnam,0,0,0,18%
23479486932,Dao My Nam,4/20/1983,Vietnam,0,0,0,18%
27816055647,Ngo Hoang Thao,10/4/2001,Vietnam,1,0,2,18%
97065290762,To Tuan Thao,9/28/1989,Vietnam,1,1,6,18%
31756022206,Hoang Dinh Trung,9/26/1979,Vietnam,0,0,18,18%
70229885466,Huynh Thanh Diep,7/11/1967,Vietnam,1,0,8,18%
33259434545,Dao Thanh Kien,9/25/1973,Vietnam,1,1,8,18%
17933907665,Chau Thuy Thinh,10/18/1995,Vietnam,0,0,0,18%
41958209780,Hoang Thi My,1/31/1982,Vietnam,0,0,11,18%
69353588851,To Tuan Ha,5/27/1975,Vietnam,0,0,6,18%
55073084599,Do Diem Diep,8/6/1984,Vietnam,1,0,2,18%
68055313719,Bui Diem Hieu,8/31/1976,Vietnam,1,0,12,18%
58711467631,Phung Xuan Son,10/11/1980,Vietnam,1,1,2,18%
46532060132,To Huy Nam,12/23/1957,Vietnam,1,1,13,18%
98958506354,Ho Manh Phuc,2/16/2001,Vietnam,1,1,4,18%
59609714683,Dinh Nhu Giang,6/6/1987,Vietnam,0,0,0,18%
76458852482,Vo Tuyet Tai,4/28/1989,Vietnam,1,1,5,18%
27999345797,Vo Anh Thang,4/16/2004,Vietnam,0,0,0,18%
13756797386,To Huu Kien,6/5/1996,Vietnam,1,0,5,18%
97353729565,Trinh Phuong Quy,4/29/1991,Vietnam,0,0,0,18%
61532597001,To My Vy,10/24/1953,Vietnam,0,0,0,18%
36720831396,Trinh Thuy Loc,6/7/2004,Vietnam,1,0,1,18%
50872681102,Le Thanh Diep,10/17/1936,Vietnam,0,0,2,18%
68120794939,Dang Phuc Nhan,3/20/1994,Vietnam,1,1,1,18%
69749880717,Duong Ngoc My,12/12/1971,Vietnam,0,0,0,18%
36877583999,Doan Phuong Yen,3/27/2005,Vietnam,1,0,1,18%
94917438539,Ly Tuyet Phong,7/8/1968,Vietnam,1,1,25,18%
84636202726,Ngo Van Thinh,10/18/1982,Vietnam,0,0,0,18%
55468259762,Tran Tien Nhat,8/29/1975,Vietnam,0,0,8,18%
33213850204,Vo Diem Mai,12/1/1958,Vietnam,1,0,6,18%
11541402470,Tran Huy Loc,5/4/2002,Vietnam,0,0,0,18%
51837325228,Dinh Tuan Linh,8/7/1984,Vietnam,0,0,1,18%
52752688978,Dang Thanh Yen,5/30/1991,Vietnam,1,0,11,18%
85830926349,Nguyen Bao Hieu,11/11/1964,Vietnam,1,1,20,18%
39006670130,Tran Ngoc Huong,12/23/2004,Vietnam,0,0,0,18%
57602758595,Ngo Van Thang,12/27/2002,Vietnam,0,0,0,18%
87751613435,Vo Phuc Ha,6/28/2001,Vietnam,1,0,3,18%
83751506323,Hoang Quang Dung,2/9/2006,Vietnam,1,0,2,18%
90650571078,Bui Minh Khang,3/25/1977,Vietnam,1,0,12,18%
37601169230,Tran Gia Giang,9/20/1963,Vietnam,0,0,0,18%
81314289491,Dinh Tuan Quy,8/19/1977,Vietnam,1,1,5,18%
50975473308,Tran Gia Hoa,9/19/1992,Vietnam,1,1,5,18%
91333060739,Ngo Thanh Diep,1/31/1934,Vietnam,0,0,0,18%
17835201939,Trinh Van Ha,2/10/1962,Vietnam,1,1,4,18%
87725775303,Trinh Tuyet Kien,7/13/1950,Vietnam,0,0,5,18%
86079818970,Dao Tuan Toan,5/6/1981,Vietnam,1,0,15,18%
16013716553,Mac Xuan Khang,3/10/1994,Vietnam,1,0,3,18%
21890311356,Doan Anh Dung,11/13/1962,Vietnam,1,1,5,18%
54472047925,Duong Thi Giang,4/10/1933,Vietnam,1,1,7,18%
60022389129,Ho Phuong Loc,12/10/1988,Vietnam,1,0,1,18%
82726894556,Mac Quang Huong,1/22/1997,Vietnam,1,1,5,18%
84542849001,Phung Tien Khang,4/10/1970,Vietnam,0,0,6,18%
35246779078,Le Quoc Mai,10/26/1998,Vietnam,1,1,4,18%
42728791519,Phan Ngoc Thang,8/19/1995,Vietnam,1,1,3,18%
33845850771,Ngo My Dat,8/2/1984,Vietnam,1,1,19,18%
79824761992,Kieu Bao Yen,12/14/1987,Vietnam,1,1,15,18%
53773352796,Ho Quoc Thinh,4/7/1975,Vietnam,1,1,17,18%
21611207857,Vo Nhu Nghia,11/14/1972,Vietnam,0,0,0,18%
39576596182,Chau Tien Phuc,2/26/2001,Vietnam,1,0,2,18%
53392557569,Vu Huu Hieu,3/20/1982,Vietnam,1,0,9,18%
16369254351,Le Tuyet Yen,10/27/1987,Vietnam,1,0,2,18%
26403376392,Doan Thi Quy,7/20/2000,Vietnam,0,0,1,18%
16324569416,Phan Quoc Toan,4/25/2003,Vietnam,0,0,2,18%
36421821956,Kieu Dinh Phong,5/10/1993,Vietnam,0,0,0,18%
14312017457,Huynh Huy Yen,1/6/1969,Vietnam,0,0,0,18%
36645959838,Nguyen Quoc Thinh,4/27/1987,Vietnam,0,0,11,18%
23991136519,Phung Quoc Loc,2/23/1967,Vietnam,1,0,2,18%
43592747512,To Duc My,7/2/1988,Vietnam,0,0,13,18%
37608689556,To Manh Dat,8/12/1994,Vietnam,0,0,0,18%
93980594824,Dinh Bao Ha,3/26/2003,Vietnam,0,0,1,18%
86393139118,Vu Manh Loc,1/13/1978,Vietnam,0,0,0,18%
47144554933,Nguyen Nhu Phuc,3/29/1968,Vietnam,1,1,3,18%
43796643475,Kieu Nhu Trang,5/15/1977,Vietnam,0,0,0,18%
17961974901,Vu Tuan Trang,7/12/1964,Vietnam,1,1,22,18%
46192138465,To Xuan Dung,8/5/1983,Vietnam,1,0,1,18%
57650913450,Mai Thu Nam,9/14/1997,Vietnam,0,0,7,18%
27722209272,Nguyen Huy Mai,8/21/1992,Vietnam,1,1,1,18%
30231786920,Vu Tuyet Mai,6/11/1987,Vietnam,1,1,9,18%
54106335564,Ngo Thi Nhan,5/17/1976,Vietnam,1,0,5,18%
17323557256,Chau Van Anh,9/12/1992,Vietnam,0,0,1,18%
52159025799,Kieu Xuan Thao,9/27/1988,Vietnam,0,0,0,18%
67576942044,Duong Thi Hoa,9/27/1973,Vietnam,0,0,8,18%
91051338231,Mac Minh Linh,6/24/2003,Vietnam,1,0,1,18%
26942532242,Phan Quang Phong,10/11/1964,Vietnam,1,1,11,18%
40137268162,Ho Minh Binh,9/20/2002,Vietnam,1,1,1,18%
95666639131,Duong Tuyet Trang,6/13/1971,Vietnam,0,0,0,18%
92693292802,Phan Bao Thao,8/20/1950,Vietnam,1,1,12,18%
58107142332,Kieu Nhu Hieu,3/4/1962,Vietnam,1,1,1,18%
22982976019,Dao Dinh Khoa,6/22/1977,Vietnam,1,1,6,18%
69352420364,Dinh Anh Thao,1/24/2006,Vietnam,1,1,1,18%
31243088319,Tran Huy Yen,2/8/1975,Vietnam,0,0,2,18%
24294192251,Huynh Thi Anh,8/2/1994,Vietnam,1,1,1,18%
12187230607,Nguyen Dinh Tu,12/13/1980,Vietnam,1,0,2,18%
14006975712,Hoang Quoc Phuc,5/30/2001,Vietnam,0,0,2,18%
28866395331,Mai My Son,10/15/1964,Vietnam,0,0,22,18%
22709019239,Duong Van Dat,4/11/2002,Vietnam,0,0,0,18%
97345569002,Mai Nhu Thang,10/22/1982,Vietnam,1,1,6,18%
65752767265,Dao Nhu Thang,12/29/1941,Vietnam,1,0,27,18%
96996643506,Kieu Ngoc Yen,10/26/1987,Vietnam,1,0,7,18%
19094537786,Duong Gia Anh,7/25/1950,Vietnam,1,1,1,18%
46159973514,Doan Minh Lan,2/18/1962,Vietnam,1,1,5,18%
74758316596,Lam Thi My,1/18/1971,Vietnam,0,0,0,18%
85453149100,Kieu Dinh Binh,11/3/1977,Vietnam,0,0,12,18%
17817122997,Do Thuy Thinh,7/1/1971,Vietnam,0,0,20,18%
64972235444,Huynh Phuc Thinh,4/29/1968,Vietnam,1,1,8,18%
61181925374,Ly Xuan Hieu,11/23/2000,Vietnam,0,0,1,18%
81323244263,Do Thuy Huong,3/15/1999,Vietnam,1,1,3,18%
26871196962,Dao Minh Hieu,3/29/1970,Vietnam,1,0,6,18%
78441545462,Le Phuong Huong,5/3/1969,Vietnam,1,0,7,18%
78146890055,Huynh Quang Phong,11/12/1997,Vietnam,1,1,3,18%
70235355091,Phan Xuan Tu,10/21/1968,Vietnam,1,0,5,18%
26916382605,Vu Manh Son,11/19/1989,Vietnam,1,1,1,18%
34450024018,To Huu Khang,2/10/2005,Vietnam,0,0,0,18%
15136713421,Dang Nhu Khang,4/29/1972,Vietnam,0,0,3,18%
55975453838,Doan Phuong Nam,5/9/1954,Vietnam,1,1,19,18%
25827098413,Nguyen Huy Dat,7/16/2004,Vietnam,0,0,1,18%
